"player_name","clock_seconds","x_coord","y_coord","def_in_frame","min_dist_from_pl","min_dist_from_pl_name","sec_dist_from_pl","sec_dist_from_pl_name","num_def_near_pl","pass_rushed","reciever_crowded","pass_distance","game_date","season_year","team_name","opp_team_name","venue","period","situation_type","goals_for","goals_against","event","event_successful","event_type","player_name_2","x_coord_2","y_coord_2","min_dist_from_pl_def_percent","sec_dist_from_pl_def_percent","pass_cluster"
"Abby Roque",158,171,19,5,47.4768741487291,"Blayre Turnbull",57.0881173392931,"Ashton Bell",0,0,0,24.3515913237718,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Amanda Kessel",194,27,0.967650651931763,0.95184737443924,8
"Abby Roque",182,129,62,4,16.6768479217297,"Blayre Turnbull",20.1674109963928,"Jocelyne Larocque",0,0,0,29.4278779391243,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Amanda Kessel",134,33,0.909178793430328,0.879437983036041,3
"Abby Roque",202,156,14,5,30.0150221197864,"Emily Clark",41.809106839882,"Renata Fast",0,0,0,36.8781778291715,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Amanda Kessel",192,22,0.812253415584564,0.819945633411407,1
"Abby Roque",206,180,19,5,89.7004596636557,"Emily Clark",98.4717067112879,"Blayre Turnbull",0,0,0,18.0277563773199,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Amanda Kessel",195,29,0.969588816165924,0.843608558177948,8
"Alex Carpenter",213,142,74,4,73.9064205229464,"Renata Fast",86.9839066057173,"Emily Clark",0,0,0,8.48528137423857,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",1,"5 on 4",0,1,"Play",1,"Direct","Kelly Pannek",136,80,0.812253415584564,0.819945633411407,3
"Alex Carpenter",915,155,20,5,0.957086086027351,"Laura Stacey",6.45757506418693,"Mich Zandee-Hart",1,0,0,44.9221548904324,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",2,"5 on 4",0,1,"Play",1,"Direct","Kelly Pannek",168,63,0.928744196891785,0.791869819164276,1
"Alex Carpenter",919,173,7,5,38.1623815679205,"Ann-Renee Desbiens",38.4559779536588,"Laura Stacey",0,0,0,45.8911756223351,"8/2/2022",2021,"Olympic (Women) - United States","Olympic (Women) - Canada","home",2,"5 on 4",0,1,"Play",1,"Direct","Megan Keller",128,16,0.973072648048401,0.911296367645264,10
"Alina Muller",564,138,63,3,46.8544004411886,"Jillian Saulnier",67.5549146334109,"Emma Maltais",0,0,0,23.259406699226,"14/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Canada","away",3,"5 on 4",3,9,"Play",0,"Direct","Phoebe Staenz",148,42,0.967072486877441,0.728651463985443,3
"Alina Muller",645,132,51,5,79.6562994771203,"Jenni Hiirikoski",85.183331195253,"Susanna Tapani",0,0,0,12.369316876853,"16/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Finland","away",1,"5 on 4",0,0,"Play",1,"Direct","Lara Stalder",135,39,0.973611116409302,0.962355315685272,3
"Alina Muller",647,157,4,2,2.82794067417161,"Olga Sosina",12.6731296791734,"Oxana Bratishcheva",1,0,0,41.0121933088198,"12/2/2022",2021,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia","away",3,"5 on 4",2,1,"Play",1,"Direct","Lara Christen",128,33,0.973072648048401,0.911296367645264,10
