"Date","Tournament","Home.Team","Away.Team","Period","Clock","Offense.Team","Defense.Team","Offense.Team.Skaters","Defense.Team.Skaters","Offense.Team.Goals","Defense.Team.Goals","Player","Event","X.Coordinate","Y.Coordinate","Detail.1","Detail.2","Detail.3","Detail.4","Player.2","X.Coordinate.2","Y.Coordinate.2","sequence","pass_cluster"
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,1,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Alexandra Vafina","Incomplete Play",105,2,"","","","","Valeria Pavlova",108,12,1,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,2,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Valeria Pavlova","Play",102,6,"","","","","Alexandra Vafina",106,6,2,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,5,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Sinja Leemann","Play",32,17,"","","","","Lena Marie Lutz",59,30,3,6
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,8,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Lara Christen","Play",4,28,"","","","","Sinja Leemann",9,15,3,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,10,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Sinja Leemann","Play",5,18,"","","","","Lara Christen",4,30,3,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,11,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Lara Christen","Play",7,25,"","","","","Sinja Leemann",5,18,3,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,17,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Yelena Provorova","Play",61,4,"","","","","Polina Luchnikova",98,38,5,5
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,19,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Yulia Smirnova","Play",65,28,"","","","","Yelena Provorova",53,30,5,9
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,22,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Rahel Enzler","Incomplete Play",70,3,"","","","","Evelina Raselli",101,25,7,5
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,25,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Lara Christen","Play",15,34,"","","","","Rahel Enzler",27,13,8,2
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,29,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Fanuza Kadirova","Play",197,18,"","","","","Oxana Bratishcheva",198,26,11,7
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,35,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Polina Luchnikova","Play",78,7,"","","","","Fanuza Kadirova",98,14,11,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,36,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Yulia Smirnova","Play",11,13,"","","","","Oxana Bratishcheva",37,26,11,6
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,36,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Oxana Bratishcheva","Play",39,25,"","","","","Polina Luchnikova",76,6,11,5
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,43,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Evelina Raselli","Incomplete Play",192,35,"","","","","Rahel Enzler",169,40,16,7
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,44,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Dominique Ruegg","Play",168,5,"","","","","Evelina Raselli",186,21,17,8
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,47,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Evelina Raselli","Play",184,3,"","","","","Dominique Ruegg",167,1,17,10
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,55,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Lara Christen","Play",102,24,"","","","","Rahel Enzler",105,2,22,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,57,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Rahel Enzler","Play",120,17,"","","","","Lara Christen",99,33,23,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,62,"Olympic (Women) - Switzerland","Olympic (Women) - Olympic Athletes from Russia",5,5,0,0,"Noemi Ryhner","Play",81,7,"","","","","Lara Stalder",114,16,25,4
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,67,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Angelina Goncharenko","Incomplete Play",130,3,"","","","","Olga Sosina",174,5,26,8
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,69,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Anna Shokhina","Play",176,4,"","","","","Olga Sosina",160,8,27,10
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,69,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Olga Sosina","Play",160,8,"","","","","Angelina Goncharenko",129,5,27,10
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,73,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Veronika Korzhakova","Play",175,28,"","","","","Anna Shokhina",195,16,28,7
"12/2/2022","Olympics 2022","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",1,78,"Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Switzerland",5,5,0,0,"Angelina Goncharenko","Play",90,7,"","","","","Anna Shokhina",120,39,31,4
