"Date","Year","Tournament","Home.Team","Away.Team","Period","Clock","Home.Team.Skaters","Away.Team.Skaters","Home.Team.Goals","Away.Team.Goals","Player.Team","Player","Event","X.Coordinate","Y.Coordinate","Detail.1","Detail.2","Detail.3","Detail.4","Player.2","X.Coordinate.2","Y.Coordinate.2"
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1200,5,5,0,0,"Women - Canada","Marie-Philip Poulin","Faceoff Win",100,42,"Backhand","","","","Hannah Brandt",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1199,5,5,0,0,"Women - Canada","Jocelyne Larocque","Puck Recovery",86,31,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1198,5,5,0,0,"Women - Canada","Jocelyne Larocque","Dump In/Out",96,15,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1197,5,5,0,0,"Women - Canada","Jocelyne Larocque","Zone Entry",124,1,"Dumped","","","","Cayla Barnes",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1194,5,5,0,0,"Women - United States","Lee Stecklein","Puck Recovery",6,73,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1193,5,5,0,0,"Women - United States","Lee Stecklein","Play",5,67,"Indirect","","","","Hilary Knight",39,3
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1190,5,5,0,0,"Women - United States","Lee Stecklein","Puck Recovery",10,9,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1189,5,5,0,0,"Women - United States","Lee Stecklein","Play",8,14,"Direct","","","","Cayla Barnes",3,48
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1186,5,5,0,0,"Women - Canada","Marie-Philip Poulin","Puck Recovery",160,1,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1185,5,5,0,0,"Women - Canada","Marie-Philip Poulin","Play",180,2,"Indirect","","","","Renata Fast",170,82
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1177,5,5,0,0,"Women - Canada","Marie-Philip Poulin","Puck Recovery",170,79,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1176,5,5,0,0,"Women - Canada","Marie-Philip Poulin","Play",153,76,"Direct","","","","Jocelyne Larocque",133,20
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1174,5,5,0,0,"Women - Canada","Jocelyne Larocque","Shot",149,13,"Slapshot","Blocked","t","f","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1172,5,5,0,0,"Women - United States","Kendall Coyne Schofield","Puck Recovery",5,69,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1172,5,5,0,0,"Women - United States","Kendall Coyne Schofield","Play",5,69,"Indirect","","","","Cayla Barnes",4,20
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1169,5,5,0,0,"Women - Canada","Renata Fast","Puck Recovery",147,80,"","","","","",NA,NA
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1167,5,5,0,0,"Women - Canada","Renata Fast","Play",130,67,"Direct","","","","Sarah Fillier",138,21
2022-08-02,2022,"Olympics 2022","Women - United States","Women - Canada",1,1165,5,5,0,0,"Women - Canada","Sarah Fillier","Puck Recovery",146,8,"","","","","",NA,NA
